130.329,97.8284,132.75
416.746,376.51,416.988
851.337,803.363,850.517
750.851,698.806,750.326
-7.77471,-62.1137,-9.80191
-525.447,-580.291,-531.022
-137.956,-189.466,-144.878
586.694,539.456,582.097
663.106,615.63,660.957
46.8064,-3.50729,44.5586
-404.361,-454.284,-408.788
-92.8517,-139.082,-99.0572
509.92,465.648,504.94
582.345,536.314,580.2
88.4681,40.1027,87.1287
-280.142,-328.165,-283.206
-34.3008,-79.2392,-38.8871
459.026,416.48,455.036
536.056,493.001,533.491
158.221,113.397,155.957
-136.867,-182.038,-139.886
42.5945,-0.763176,40.4599
417.807,375.978,418.954
479.043,436.966,482.826
193.93,151.405,198.038
-33.9872,-75.8014,-31.2953
97.2777,56.7508,98.5632
372.385,332.259,373.634
415.115,373.655,416.553
211.105,167.309,211.879
42.8537,-2.17484,42.5724
120.249,76.7228,119.388
293.497,252.495,292.883
314.239,273.392,313.973
187.068,144.157,186.744
73.2635,29.2449,72.0809
93.3689,50.4234,91.2673
177.054,134.922,175.301
190.509,147.656,189.35
129.71,86.2635,128.953
65.3642,22.307,65.0581
60.7071,18.5779,60.2849
83.3158,41.9939,83.0631
87.2456,46.6332,87.6507
74.07,34.4876,74.6675
38.9977,0.690201,39.7762
0.778415,-36.0909,2.48076
-35.2778,-71.2035,-32.5306
-47.646,-83.2638,-45.7635
-23.5735,-58.9398,-23.784
-22.6269,-57.804,-23.9559
-75.8708,-110.725,-78.7901
-147.412,-181.697,-152.407
-153.969,-186.71,-159.544
-82.695,-113.095,-87.736
-53.6886,-82.4142,-58.1528
-133.772,-162.363,-138.123
-258.144,-288.562,-262.734
-295.415,-328.283,-300.376
-231.05,-265.694,-235.862
-228.076,-263.832,-232.127
-371.991,-407.66,-376.004
-562.182,-596.318,-566.987
-614.217,-646.103,-619.606
-516.1,-546.182,-521.28
-474.337,-504.623,-479.024
-605.795,-638.518,-611.246
-809.796,-844.729,-816.35
-883.935,-918.297,-890.138
-805.43,-837.569,-810.519
-796.764,-828.825,-800.645
-992.097,-1026.34,-994.77
-1273.42,-1307.74,-1276.08
-1415.68,-1446.51,-1419.86
-1398.26,-1426.21,-1403.09
-1466.34,-1494.71,-1470.44
-1752.42,-1781.74,-1756.09
-2109.81,-2138.2,-2113.9
-2281.56,-2308.55,-2286.77
-2230.91,-2257.43,-2236.48
-2216.36,-2242.99,-2221
-2407.29,-2434.29,-2411.72
-2672.31,-2699.36,-2677.89
-2743.23,-2768.56,-2750.29
-2582.32,-2604.3,-2589.9
-2433.6,-2454.08,-2439.59
