1674.99,1642.14,1656.26
1834.1,1800.31,1817.71
1921.72,1888.45,1908.41
1861.16,1829.88,1850.15
1803.78,1775.62,1793.72
1902.95,1878.81,1891.66
2071.83,2052.11,2058.05
2063.25,2046.28,2049.05
1819.72,1801.63,1807.88
1560.88,1539.32,1551.74
1501.23,1477.22,1494.28
1566.21,1541.93,1559.98
1497.22,1474.49,1490.73
1251.63,1230.4,1245.86
1048.65,1027.52,1042.36
1071.65,1050.58,1062.87
1226.79,1206.18,1216.3
1255.7,1235.27,1245.15
1107.25,1087.79,1096.77
992.942,975.468,981.416
1092.76,1077.18,1080.65
1311.46,1297.52,1299.92
1392.66,1380.17,1382.55
1297.57,1285.6,1289.26
1244.81,1232.45,1235.93
1398.15,1386.39,1387.19
1655.34,1645.51,1644.41
1771.01,1762.98,1761.54
1710.98,1704.45,1701.55
1673.69,1669.57,1663.03
1808.14,1807.69,1797.83
2022.74,2025.83,2014.18
2095.9,2101.78,2087.93
1987.25,1996.53,1978.82
1865.59,1879.95,1856.87
1879.01,1898.58,1870.43
1955.9,1977.41,1947.89
1885.44,1905.18,1877.26
1647.6,1666.44,1636.14
1445.06,1466.35,1428.25
1409.45,1434.94,1390.2
1421.53,1451.86,1403.06
1259.01,1293.3,1240.08
921.232,957.939,901.21
606.424,646.065,586.801
438.601,483.036,419.542
309.811,358.888,290.747
-1.74123,49.6584,-20.5369
-468.218,-415.845,-485.826
-852.928,-800.067,-871.01
-1046.21,-993.78,-1066.98
-1173.52,-1121.58,-1196.29
-1444.42,-1391.86,-1468.91
-1850.91,-1798.5,-1878.08
-2212.18,-2163.99,-2240.99
-2461.93,-2419.46,-2488.18
-2684.17,-2643.87,-2705.62
-2973.06,-2933.6,-2992.47
-3262.28,-3226.59,-3283.3
-3391.82,-3360.95,-3415.92
-3347.02,-3318.81,-3373.03
-3288.67,-3261.29,-3313.26
-3407.39,-3381.1,-3428.59
-3693.1,-3668.88,-3711.64
-3970.41,-3947.95,-3987.95
-4170.91,-4148.73,-4189.49
-4388.39,-4366.18,-4408.78
-4763.96,-4742.42,-4785.1
-5284.45,-5263.13,-5305.44
-5754.32,-5731.7,-5773.95
-6004.12,-5978.02,-6020.46
-5998.24,-5967.74,-6012.47
-5768.41,-5734.87,-5783.71
-5318.04,-5282.9,-5334.52
-4720.71,-4685.04,-4736.77
-4208.36,-4173.39,-4224.01
-3928.26,-3894.99,-3944.25
-3740.98,-3709.33,-3756.99
-3387.47,-3354.64,-3402.05
-2850.14,-2813.96,-2862.89
-2389.62,-2351.52,-2401.72
-2147.78,-2109.73,-2160.38
-1930.85,-1893.54,-1945.2
-1443.24,-1406.27,-1458.74
-761.059,-723.465,-775.155
-308.817,-270.604,-321.455
-244.602,-207.316,-258.273
-262.329,-227.573,-277.683
-25.4072,6.80937,-40.1373
379.728,409.847,367.586
581.421,610.383,571.3
485.983,517.287,475.047
376.877,413.342,362.339
499.82,539.98,482.885
741.68,782.829,726.233
801.317,843.419,788.132
645.69,689.688,631.248
531.079,576.239,512.43
646.521,691.951,625.259
866.499,912.009,845.257
926.235,971.201,905.283
822.592,866.418,800.79
778.165,821.793,754.385
915.282,960.398,890.399
1086.6,1134,1062.68
1083.18,1131.65,1061.64
962.579,1008.55,943.431
937.37,978.629,919.636
1069.23,1108.32,1052.35
1200.99,1241.71,1184.24
1175.27,1217.98,1158.05
1076.17,1119.34,1059.11
1082.7,1126.62,1066.3
1205.29,1250.56,1190.06
1287.79,1332.89,1274.62
1224.04,1268.04,1211.91
1123.38,1167.44,1110.43
1126.56,1171.86,1112.56
1210.09,1256.44,1195.26
1233.93,1280.77,1218.99
1129.51,1177.28,1116.69
1017.7,1066.51,1007.09
1013.76,1062.51,1003.14
1053.08,1101.44,1042.37
995.249,1043.53,984.94
825.783,874.101,815.687
697.894,746.832,688.589
705.358,755.985,696.224
749.993,803.23,739.644
698.904,754.438,688.647
563.771,620.348,555.011
501.155,557.954,492.157
568.652,625.407,557.929
627.906,684.843,615.747
567.777,624.948,553.668
443.442,500.202,426.965
413.374,469.326,395.312
517.961,573.844,499.942
609.055,665.826,593.5
573.434,631.448,561.205
473.035,532.923,462.346
449.886,511.402,438.765
521.073,581.926,509.754
541.021,599.982,529.806
421.325,479.443,408.695
255.369,313.672,240.632
196.538,255.849,181.834
263.572,324.412,251.644
306.643,368.81,297.121
249.799,312.37,239.936
188.975,250.889,177.269
177.577,239.262,164.701
135.498,197.037,122.136
-44.1655,16.3402,-57.5352
-359.084,-298.39,-371.208
-648.532,-585.284,-658.934
-754.167,-688.215,-764.017
-756.507,-689.396,-766.994
-923.229,-856.438,-934.248
-1327.43,-1261.58,-1339.31
-1728.97,-1663.17,-1742.85
-1919.95,-1852.95,-1935.13
-1949.03,-1880.29,-1963.1
-2000.59,-1930.53,-2012.79
-2140.66,-2070.69,-2153.37
-2209.23,-2140.66,-2225.08
-2039.71,-1971.68,-2057.7
-1673.94,-1603.59,-1690.21
-1317.05,-1243.36,-1330.67
-1105.09,-1029.6,-1118.7
-993.447,-917.596,-1008.87
-913.075,-837.412,-930.368
-886.309,-810.963,-905.094
-993.041,-917.935,-1013.85
-1204.54,-1129.56,-1227.53
-1341,-1265.4,-1363.13
-1308.67,-1231.95,-1326.77
-1246.15,-1169.66,-1260.76
-1376.42,-1301.74,-1390.4
-1722.16,-1650.42,-1738.55
-2041.05,-1972.47,-2060.28
-2136.11,-2068.63,-2155.91
